IDD;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;Einheitstitel;Alternativtitel;Umfang;Format;Sprache;Anmerkung;USTC_Subject;Verfasser_a;GND_a;Titel_a;Verfasser_b;GND_b;Titel_b;Verfasser_c;GND_c;Titel_c;anmerkung_ort;Druckort;gnd_Ort;Land;gnd_Land;anmerkung_ort_b;Druckort_b;gnd_Ort_b;Land_b;gnd_Land_b
IDD-053;null;null;null;null;T 623;614031;null;Auflosung ettli=||cher Fragen zu lob vnd ere || christi Jesu/ auch seiner lieben m#(ue)tter || Marie/ wider die verstockt? plin=||te Juden/ vnd alle die jhe=||nen so sie in jren lan||den vnd stet=||ten wi=||der recht ent=||halten f#(ue)ren vnd ge||dulden ne#(ue)lich geschehen;Auflosung ettlicher fragen zu lob und ere Christi Jesu auch seiner lieben muetter Marie wider die verstockten plinte Juden und alle die jhenen so sie in iren landen und Stetten wider recht enthalten fueren und gedulden neuelich geschehen.;ff. [13];4°;Deutsch;Reformatorische Schrift?;Religious;Johannes Teuschlein;130084743;Auflosung ettli=||cher Fragen zu lob vnd ere || christi Jesu/ auch seiner lieben m#(ue)tter || Marie/ wider die verstockt? plin=||te Juden/ vnd alle die jhe=||nen so sie in jren lan||den vnd stet=||ten wi=||der recht ent=||halten f#(ue)ren vnd ge||dulden ne#(ue)lich geschehen;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-054;null;null;null;null;P 2288;616144;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Beschirmung;Beschyrmung Johannes pfefferkorn zeygt menniglichen an. Den loblichen handell von ym geubtzwyschen ym und wyder Johan reuchleyn und der trulosen Juden zusambt yren mithelffers. Die wylche durch offenbaren smach bucher. Den aller unfletigisten und unfruchtbarlichsten samen in die welt auß geworffen haben;ff. liij[=51] [1];4°;Deutsch;null;null;Johannes Pfefferkorn;118848801;Beschirmung;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-055;null;null;null;null;B 5819;619816;Schreckenberg III (1994) 399-400;Decamerone;Cento novella das buch der hundert nüwen Historien so ein lieplich geselschafft von Florentz fliehende den sterben der pestilentz umb ergetzlicheit und minderung ires schmertzen gesagt und erdacht hat;ff. CCXXXV;2°;Deutsch;Übersetzung ins Deutsche, Illustrationen (Holzschnitte);Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-056;null;null;null;null;B 5820;619817;Schreckenberg III (1994) 399-400;Decamerone;Cento novella hundert neuwer Historien die in einem grosen sterben zu florentz gesagt wurden von etlichen kürtzweiligen menschen die da uß der stat hin uff das land fluhen ir leben zuerreten und da ir ordnung machten ein küng und in der zugebieten het was zu froeden dient und ist wol beglimpfet.;ff. CCXXXVI;2°;Deutsch;Übersetzung ins Deutsche;Literature;Giovanni Boccaccio;11851217X;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-057;null;null;null;null;C 1911;624821;VL-Hum I (2008) 375-427. Schreckenberg III (1994) 579-580;Conradi celtis protucii primi inter Germanos imperatoriis manibus poete laureati quatu or libri amorum secundum quatuor latera Germanie feliciter incipiunt;null;ff. lxxiii (49);4°;Latein;"Sammelwerk; Schreckenberg III, 579, gibt 1495 als Entstehungs- und Ersterscheinungsdatum an, doch weder noch ISTC kennen diese Druckausgabe. VD16: ""Enth. Werke: 1. enth. Werk: Celtis, Konrad: Germania generalis. (VD16 C 1901) 2. enth. Werk: Celtis, Konrad: Hymnus sapphicus in vitam sancti Sebaldi. (VD16 C 1904) 3. enth. Werk: Celtis, Konrad: Ludus Dianae. (VD16 C 1908) 4. enth. Werk: Celtis, Konrad: De origine, situ, moribus et institutis Norinbergae. (VD16 C 1909) 5. enth. Werk: Longinus, Vincentius: Panegyricus. (VD16 L 2389) https://www.geschichtsquellen.de/werk/957";null;Konrad Celtis;118519891;De origine, situ, moribus et institutis Norinbergae;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-058;null;null;null;null;S 1568;627171;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;(1) ¬Das¬ Jhesus Nazarenus || der ware Messias sey. Derhalben die || Juden auff kaynen andern warten d#(oe)rffen.|| Rabbi Samuelis:|| Verdeütscht durch Wentzeslaum Linck Eccle=||siasten z? Aldenburgk. Anno dñi. 1524.|| (VD16). (2) Das Jhesus Nazarenus der ware Messias sey. Derhalben die Juden auff kaynen andern warten doerffen (USTC);ff. [32];4°;Deutsch;Übersetzung ins Deutsche. mit Illustration (Holzschnitt);Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Zwickau;4068262-6;Deutschland, Sachsen;XA-DE-SN;null;null;null;null;null
IDD-059;null;null;null;null;S 1569;627172;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;(1) ¬Das¬ Jhesus Nazarenus || der ware Messias sey. Derhalben die || Juden auff kaynen andern warten d#(oe)rffen.|| Rabbi Samuelis:|| Verdeütscht durch Wentzeslaum Linck Eccle=||siasten z? Aldenburgk. Anno dñi. 1524.|| (VD16). (2) Das Jhesus Nazarenus der ware Messias sey. Derhalben die Juden auff kaynen andern warten doerffen (USTC);ff. [32];4°;Deutsch;Übersetzung ins Deutsche. mit Illustration (Holzschnitt);Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Zwickau;4068262-6;Deutschland, Sachsen;XA-DE-SN;null;null;null;null;null
IDD-060;null;null;null;null;S 1570;627173;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;(1) ¬Das¬ Jhesus Nazarenus || der ware Messias sey. Derhalben die || Juden auff kaynen andern warten d#(oe)rffen.|| Rabbi Samuelis:|| Verdeütscht durch Wentzeslaum Linck Eccle=||siasten z? Aldenburgk. Anno dñi. 1524.|| (VD16). (2) Das Jhesus Nazarenus der ware Messias sey. Derhalben die Juden auff kaynen andern warten doerffen (USTC);ff. [32];4°;Deutsch;"Übersetzung ins Deutsche. SLUB: ""Mit handschriftlichen Anmerkungen und einer Widmung von Johann Zier"". mit Illustration (Holzschnitt)";Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Zwickau;4068262-6;Deutschland, Sachsen;XA-DE-SN;null;null;null;null;null
IDD-061;null;null;null;null;H 4132;631282;null;De Ratisbona metropoli Boioariae et subita ibidem Judaeorum proscriptione (etc.);null;21 Bl.;4°;Latein;null;null;Christoph Hoffmann;122778812;De Ratisbona metropoli Boioariae et subita ibidem Judaeorum proscriptione (etc.);null;null;null;null;null;null;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-062;null;null;null;null;P 2289;632183;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Beschirmung;Defensio contra famosas et criminales obscurorum virorum;ff. [56];4°;Latein;Drucker im VD16 Grundwerk fälschlich: Quentel, Heinrich (Erben);Jurisprudenz;Johannes Pfefferkorn;118848801;Beschirmung;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-063;null;null;null;null;ZV 15202;632323;Schreckenberg III (1994) 592-595;Dem durchleuchtigsten hochgebornen Fursten und Herren Ludwign Phaltzgraven bey Rein Hertzogen in obren und Nidern Bayrn. Welicher eyn raby der juden gewest ist. Zu cristlichem glawbn komen weiter vindet man dar in. Eyn costliche disputatz eynes gelerten cristen und eyns gelerten juden. Darinne alle irthumb der Juden durch yr aygen schrifft aufgelost werden.;null;ff. [103];4°;Deutsch;1. Auflage? Auch 1550 (= VD16 V 974 und U 186) British Library: General Reference Collection DRT Digital Store 1412.e.19.. UIN: BLL01017672983. http://explore.bl.uk/primo_library/libweb/action/dlDisplay.do?docId=BLL01017672983&vid=BLVU1&lang=en_US&institution=BL .;Religious;Victor von Carben;119858703;Dem durchleuchtigsten hochgebornen Fursten und Herren Ludwign Phaltzgraven bey Rein Hertzogen in obren und Nidern Bayrn. Welicher eyn raby der juden gewest ist. Zu cristlichem glawbn komen weiter vindet man dar in. Eyn costliche disputatz eynes gelerten cristen und eyns gelerten juden. Darinne alle irthumb der Juden durch yr aygen schrifft aufgelost werden.;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-064;null;null;null;null;B 5606;633633;null;Der Juden benedicite wie sy Gott den Heren loben und im umb die speysz dancken;Der Juden benedicite wie sy Gott den Heren loben und im umb die speysz dancken;ff. [4];4°;Deutsch;Aus dem Hebräischen übersetzt ins Deutsche von Thomas Murner;Religious;Thomas Murner;118585886;Der Juden benedicite wie sy Gott den Heren loben und im umb die speysz dancken;null;null;null;null;null;null;null;Frankfurt (Main);4018118-2;Deutschland, Hessen;XA-DE-HE;null;null;null;null;null
IDD-065;null;null;null;null;P 2298;633659;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenspiegel;Der jodenspeigel;ff. [36];4°;Deutsch;null;Religious;Johannes Pfefferkorn;118848801;Judenspiegel;null;null;null;null;null;null;null;Braunschweig;4008065-1;Deutschland, Niedersachsen;XA-DE-NI;null;null;null;null;null
IDD-066;null;null;null;null;P 2299;633660;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenspiegel;Der joeden spiegel.;ff. [36];4°;Deutsch;Floerken 39-77;Religious;Johannes Pfefferkorn;118848801;Judenspiegel;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-067;null;null;null;null;F 2855;633664;null;Der Juden practica;Der Juden practica;ff. [4];4°;Deutsch;null;Religious;Lorenz Fries;118536028;Der Juden practica;null;null;null;null;null;null;null;Hagenau;4094465-7;Frankreich, Unterelsass;XA-FR;null;null;null;null;null
IDD-068;null;null;null;null;P 2300;633665;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenspiegel;Der Juden spiegel;ff. [24];4°;Deutsch;Bogenkollation: A-F4;Religious;Johannes Pfefferkorn;118848801;Judenspiegel;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-069;null;null;null;null;P 2301;633666;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenspiegel;Der Juden spiegel;ff. [16];4°;Deutsch;null;Religious;Johannes Pfefferkorn;118848801;Judenspiegel;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-070;null;null;null;null;H 6305;636741;null;Die geschicht und bekentnuß des getaufften Juden zu Halle vor Sant Moritzen burgk auff dem Jueden kirchoff mit glueenden zangen gerissen darnach gepraten.;Die geschicht und bekentnuß des getaufften Juden zu Halle vor Sant Moritzen burgk auff dem Jueden kirchoff mit glueenden zangen gerissen darnach gepraten.;ff. [2];4°;Deutsch;betrifft Reuchlin-Pfefferkorn-Debatte;Religious;Ulrich von Hutten;118555049;Die geschicht und bekentnuß des getaufften Juden zu Halle vor Sant Moritzen burgk auff dem Jueden kirchoff mit glueenden zangen gerissen darnach gepraten.;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-071;null;null;null;null;ZV 5529;640297;null;Warhafftig Sumarius der gerichts hendel;Dit is der warhafftig sumarius der gerichts hendel und proceß der geholden is worden upp manigfaldig indicia uthsag und bekentnys eines pawl from genomet der dat hochwerdig Sacrament;ff. [22];4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu ZV 4517. Erkennungslesart: ""Hanow. im iar"". USTC 640297 = USTC 640309 = USTC 640298 ?";Jurisprudence;null;null;Warhafftig Sumarius der gerichts hendel;null;null;null;null;null;null;null;Frankfurt (Oder);4018122-4;Deutschland, Brandenburg;XA-DE-BB;null;null;null;null;null
IDD-072;null;null;null;null;ZV 4517;640298;null;Warhafftig Sumarius der gerichts hendel;Dit is der warhaftig summarius der gerichts hendel und prozeß, der gehalden is worden up bekentnys eines, Paul from genomet;ff. [22];4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu ZV 4517. Erkennungslesart: ""Hanow. im iar"". USTC 640297 = USTC 640309 = USTC 640298 ?";Jurisprudence;null;null;Warhafftig Sumarius der gerichts hendel;null;null;null;null;null;null;null;Frankfurt (Oder);4018122-4;Deutschland, Brandenburg;XA-DE-BB;null;null;null;null;null
IDD-073;null;null;null;null;D 1446;640309;null;Warhafftig Sumarius der gerichts hendel;Ditzs ist der warhafftig sumarius der gerichts hendel unnd proceß der gehalten ist worden, uff bekentnis eines pawl from gnant der das Sacrament sambt einer monstrantzien auß der kyrchen zu Knobloch gestolen;ff. [22];4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu ZV 4517. Erkennungslesart: ""Hanow. im iar"". USTC 640297 = USTC 640309 = USTC 640298 ?";Jurisprudence;null;null;Warhafftig Sumarius der gerichts hendel;null;null;null;null;null;null;null;Frankfurt (Oder);4018122-4;Deutschland, Brandenburg;XA-DE-BB;null;null;null;null;null
IDD-074;null;null;null;null;H 2567;640813;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;De eruditione Christifidelium compemdiosus cum thematibus sermonum dominicalium et de sctis in generali acd beata virgine;ff. [164];4°;Latein;null;Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-075;null;null;null;null;H 2564;640815;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;Discipulus de Eruditione christifidelium omnibus predicare volentibus utilis cunctis fidei christianae cultoribus summe necessarius. cum thematibus sermonum dominicalium & cum tabula alphabetica;ff. [142];4°;Latein;null;Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-076;null;null;null;null;ZV 7803;640816;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;Discipulus de Eruditione christifidelium omnibus predicare volentibus utilis cunctis fidei christianae cultoribus summe necessarius. cum thematibus sermonum dominicalium & cum tabula alphabetica;ff. [142];4°;Latein;null;Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-077;null;null;null;null;H 2565;640817;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;Discipulus de Eruditione christifidelium omnibus predicare volentibus utilis cunctis fidei christianae cultoribus summe necessarius. cum thematibus sermonum dominicalium & cum tabula alphabetica;ff. [142];4°;Latein;null;Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-078;null;null;null;null;H 2563;640818;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;Discipulus de Eruditione christifidelium omnibus predicare volentibus utilis cunctis fidei christianae cultoribus summe necessarius. cum thematibus sermonum dominicalium & cum tabula alphabetica;ff. [140];4°;Latein;null;Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Köln;4031483-2;Deutschland, Nordrhein-Westfalen;XA-DE-NW;null;null;null;null;null
IDD-079;null;null;null;null;H 2568;640819;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;Discipulus de eruditione Christifidelium compemdiosus:ac summa diligentia revisus atque recognitus: non modo omnibus predicare volentibus utilis: veruetiam cuctis fidei Christiane cultoribus summe necessarius.cum thematibus sermonum dominicalium et de sanctis in generali ac de beata virgine;ff. [164];4°;Latein;null;Religious;Johannes Herolt;100162495;(1) Discipulus de Eruditione christifidelium (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;null;null;null;null;null;null;null;Augsburg;4003614-5;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-080;null;null;null;null;R 1246;640970;Floerken 28-34;Tütsch missive;Tütsch missive. Warumb die Juden so lang im ellend sind;ff. [5];4°;Deutsch;Exemplar: United Kingdom, London, British Library, Signatur: 1352.i.33.;null;Johannes Reuchlin;118744658;Tütsch missive;null;null;null;null;null;null;null;Pforzheim;4045637-7;Deutschland, Baden-Württemberg;XA-DE-BW;null;null;null;null;null
IDD-081;null;null;null;null;S 8778;641669;null;Ducum, judicum, regum Israhelitici populi cumo ex sacris tum prophanis literis hystorica methodus;Ducum judicu regum jsrahelitici populi cum ex sacris tum pro hanis literis hystorica methodus per barptholomeum stenu diligentiss. Conscripta ut docta et culta ita omnibus necessaria.;ff. [50];8°;Latein;1509 erster bestellter Professor für Geographie;null;Bartholomaeus Stein;119838311;Ducum, judicum, regum Israhelitici populi cumo ex sacris tum prophanis literis hystorica methodus;null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-082;null;null;null;null;G 1177;641892;null;Das ist ein erschrockenliche history von fünff schnöden juden, wie sie das bild Marie verspottetund durchstochen haben;Dz ist ein erschrockenliche history von fünff schnöden Juden, wie sie das bild Marie verspottet und durchstochen haben;ff. [9];4°;Deutsch;Druckjahr im VD16 Grundwerk fälschlich: 1512, StBi Berlin-Bemerkung: Nehlsen. BLF 1135, Weller, Repertorium typographicum 686;Music;Pamphilus Gengenbach;11853842X;Das ist ein erschrockenliche history von fünff schnöden juden, wie sie das bild Marie verspottetund durchstochen haben;null;null;null;null;null;null;null;Basel;4004617-5;Schweiz, Kanton Basel;XA-CH-BS;null;null;null;null;null
IDD-083;null;null;null;null;S 1567;642535;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Ein Bewysung, das der war Messias kummen syg, des die Juden noch on Ursach zuokünfftig sin, wartend / beschriben durch Rabbi Samuelem. Nutzlich für die schwachgleubigen, dann hierinn ein yetlicher Christ sinen Glouben wol stercken mag, in dem, so er findt die klare Zügnus aller Propheten &c.;ff. [28];4°;Deutsch;Übersetzung ins Deutsche;Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Zürich;4068038-1;Schweiz, Kanton Zürich;XA-CH-ZH;null;null;null;null;null
IDD-084;null;null;null;null;G 1864;642995;null;Ein gesprech auff das kurtzt zwuschen eynem Christen und Juden auch eynem wyrthe, sampt seynem haußknecht den eckstein Christum betreffendt so noch Goetlicher schrifft abkunterfeyt ist wie alhie beygedruckt figur außweyßet.;Ein gesprech auff das kurtzt zwuschen eynem Christen und Juden auch eynem wyrthe, sampt seynem haußknecht den eckstein Christum betreffendt so noch Goetlicher schrifft abkunterfeyt ist wie alhie beygedruckt figur außweyßet.;ff. [15];4°;Deutsch;null;Religious;null;null;Ein gesprech auff das kurtzt zwuschen eynem Christen und Juden auch eynem wyrthe, sampt seynem haußknecht den eckstein Christum betreffendt so noch Goetlicher schrifft abkunterfeyt ist wie alhie beygedruckt figur außweyßet.;null;null;null;null;null;null;null;Erfurt;4015240-6;Deutschland, Thüringen;XA-DE-TH;null;null;null;null;null
IDD-085;null;null;null;null;S 1566;643223;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;(1) ¬Ein¬ Epistel rab||bi Samuelis des Juden dar||iñ er anzeyget vnd bewerlich || vernicht die õden vñ vnfrucht||barn hoffnung der Juden die || sye haben von Messia/ d#(m) der||selbig noch kõmen sol/ in Ara||bischer zungenerstlich beschri||ben/ Darnach in Latein ge=||bracht/ vnd yetz nüwlich auff || das aller trüwlichest verteüt=||schet ... || Auch || ein Epistel Pontij Pilati von || der vrstend Christi vnsers se=||lig machers.|| (VD16). (2) Ein Epistel, darinn er anzeyget und bewerlich vernicht die oden und unfruchtbarn hoffnung der Juden, die sye haben von Messia dm derselbig noch kommen sol (USTC);ff. [34];4°;Deutsch;Übersetzung ins Deutsche. daran: Pseudo- Pontius Pilatus: Epistola ad Tiberium;Religious;Rabi Samuel (i.e. Alfonsus Bonihominis, GND 119061481);102849587;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;null;null;null;null;null;null;null;Colmar;4010401-1;Frankreich, Oberelsass;XA-FR;null;null;null;null;null
IDD-086;null;null;null;null;H 5683;644008;null;Ein hübscher newer leerspruch wie ein münch nach vil disputierens einen verstockten Juden zu Christenlichem glauben bekerte, und wie er den tauff auch gutte underweysung des münchs an nam.;Ein hübscher newer leerspruch wie ein münch nach vil disputierens einen verstockten Juden zu Christenlichem glauben bekerte, und wie er den tauff auch gutte underweysung des münchs an nam.;ff. [20];4°;Deutsch;Leerspruch;Religious;null;null;Ein hübscher newer leerspruch wie ein münch nach vil disputierens einen verstockten Juden zu Christenlichem glauben bekerte, und wie er den tauff auch gutte underweysung des münchs an nam.;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-087;null;null;null;null;V 973;646286;Schreckenberg III (1994) 592-595;Ein schoen und seüberlich tractat von der edlen reinen und unbefleckten junckfrawschafft Marie der hymelischen Künigin mutter unsers Herren Jesu Christi;null;ff. [23];4°;Deutsch;4. Auflage? Auch 1550 (= VD16 V 974 und U 186);Religious;Victor von Carben;119858703;Ein schoen und seüberlich tractat von der edlen reinen und unbefleckten junckfrawschafft Marie der hymelischen Künigin mutter unsers Herren Jesu Christi;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
IDD-088;null;null;null;null;W 4595;647501;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);Ein wunderbarlich geschichte: wie die merckischen juden das hochwirdig sacrament gekaufft unnd zu martern sich undstannden;ff. [4];4°;Deutsch;betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg;null;null;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);null;null;null;null;null;null;null;München;4127793-4;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-089;null;null;null;null;W 4596;647502;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);ff. [3];4°;Deutsch;Lagenform: A3;Religious;null;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);null;null;null;null;null;null;null;Nürnberg;4042742-0;Deutschland, Bayern;XA-DE-BY;null;null;null;null;null
IDD-090;null;null;null;null;A 350;650565;Schreckenberg III (1994) 596-597. Murner, Thomas: Entehrung Mariä durch die Juden: Eine antisemitische Dichtung Thomas Murners. Mit den Holzschnitten des Strassburger Hupfuffschen Druckes herausgegeben von Adam Klassert. Sonderabdruck aus dem Jahrbuch für Geschichte, Sprache und Literatur Elsass-Lothringens (1905);Enderung und schmach der bildung Marie von den Juden bewissen. vnd zu ewiger gedechtnüss durch Maximilianum den römischen keyser zu malen verschaffet in der löblichen stat kolmer, von dannen sy ouch ewig vertriben syndt;Enderung und schmach der bildung Marie von den juden bewissen. Und zu ewiger gedechtnüsz durch Maximilianu den Römischen Keyser zu malen verschaffet in der löblichen stat Kolmer. Von dannen sy ouch ewig vertriben syndt.;ff. [33];4°;Deutsch;Schreckenberg III, S: 596, nennt Thomas Murner als Verfasser, VD16 und USTC nicht;Religious;Thomas Murner;118585886;Enderung und schmach der bildung Marie von den Juden bewissen. vnd zu ewiger gedechtnüss durch Maximilianum den römischen keyser zu malen verschaffet in der löblichen stat kolmer, von dannen sy ouch ewig vertriben syndt;null;null;null;null;null;null;null;Strassburg;4057878-1;Frankreich;XA-FR;null;null;null;null;null
