IDD;GW;ISTC;BSB_Ink;VE15;VD16;USTC;Literatur;Titel;Alternativtitel;Umfang;Format;Sprache; Anmerkung;USTC_Subject
IDD-054;null;null;null;null;P 2288;616144;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Beschirmung;Beschyrmung Johannes pfefferkorn zeygt menniglichen an. Den loblichen handell von ym geubtzwyschen ym und wyder Johan reuchleyn und der trulosen Juden zusambt yren mithelffers. Die wylche durch offenbaren smach bucher. Den aller unfletigisten und unfruchtbarlichsten samen in die welt auß geworffen haben;ff. liij(=51) (1);4°;Deutsch;null;null
IDD-055;null;null;null;null;B 5819;619816;Schreckenberg III (1994) 399-400;Decamerone;Cento novella das buch der hundert nüwen Historien so ein lieplich geselschafft von Florentz fliehende den sterben der pestilentz umb ergetzlicheit und minderung ires schmertzen gesagt und erdacht hat;ff. CCXXXV;2°;Deutsch;Übersetzung ins Deutsche, Illustrationen (Holzschnitte);Literature
IDD-056;null;null;null;null;B 5820;619817;Schreckenberg III (1994) 399-400;Decamerone;Cento novella hundert neuwer Historien die in einem grosen sterben zu florentz gesagt wurden von etlichen kürtzweiligen menschen die da uß der stat hin uff das land fluhen ir leben zuerreten und da ir ordnung machten ein küng und in der zugebieten het was zu froeden dient und ist wol beglimpfet.;ff. CCXXXVI;2°;Deutsch;Übersetzung ins Deutsche;Literature
IDD-058;null;null;null;null;S 1568;627171;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;(1) ¬Das¬ Jhesus Nazarenus || der ware Messias sey. Derhalben die || Juden auff kaynen andern warten d#(oe)rffen.|| Rabbi Samuelis:|| Verdeütscht durch Wentzeslaum Linck Eccle=||siasten z? Aldenburgk. Anno dñi. 1524.|| (VD16). (2) Das Jhesus Nazarenus der ware Messias sey. Derhalben die Juden auff kaynen andern warten doerffen (USTC);ff. (32);4°;Deutsch;Übersetzung ins Deutsche. mit Illustration (Holzschnitt);Religious
IDD-059;null;null;null;null;S 1569;627172;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;(1) ¬Das¬ Jhesus Nazarenus || der ware Messias sey. Derhalben die || Juden auff kaynen andern warten d#(oe)rffen.|| Rabbi Samuelis:|| Verdeütscht durch Wentzeslaum Linck Eccle=||siasten z? Aldenburgk. Anno dñi. 1524.|| (VD16). (2) Das Jhesus Nazarenus der ware Messias sey. Derhalben die Juden auff kaynen andern warten doerffen (USTC);ff. (32);4°;Deutsch;Übersetzung ins Deutsche. mit Illustration (Holzschnitt);Religious
IDD-060;null;null;null;null;S 1570;627173;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;(1) ¬Das¬ Jhesus Nazarenus || der ware Messias sey. Derhalben die || Juden auff kaynen andern warten d#(oe)rffen.|| Rabbi Samuelis:|| Verdeütscht durch Wentzeslaum Linck Eccle=||siasten z? Aldenburgk. Anno dñi. 1524.|| (VD16). (2) Das Jhesus Nazarenus der ware Messias sey. Derhalben die Juden auff kaynen andern warten doerffen (USTC);ff. (32);4°;Deutsch;"Übersetzung ins Deutsche. SLUB: ""Mit handschriftlichen Anmerkungen und einer Widmung von Johann Zier"". mit Illustration (Holzschnitt)";Religious
IDD-061;null;null;null;null;H 4132;631282;null;De Ratisbona metropoli Boioariae et subita ibidem Judaeorum proscriptione (etc.);null;21 Bl.;4°;Latein;null;null
IDD-062;null;null;null;null;P 2289;632183;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Beschirmung;Defensio contra famosas et criminales obscurorum virorum;ff. (56);4°;Latein;Drucker im VD16 Grundwerk fälschlich: Quentel, Heinrich (Erben);Jurisprudenz
IDD-063;null;null;null;null;ZV 15202;632323;Schreckenberg III (1994) 592-595;Dem durchleuchtigsten hochgebornen Fursten und Herren Ludwign Phaltzgraven bey Rein Hertzogen in obren und Nidern Bayrn. Welicher eyn raby der juden gewest ist. Zu cristlichem glawbn komen weiter vindet man dar in. Eyn costliche disputatz eynes gelerten cristen und eyns gelerten juden. Darinne alle irthumb der Juden durch yr aygen schrifft aufgelost werden.;null;ff. (103);4°;Deutsch;1. Auflage?  Auch 1550 (= VD16 V 974 und U 186)  British Library: General Reference Collection DRT Digital Store 1412.e.19..  UIN: BLL01017672983. http://explore.bl.uk/primo_library/libweb/action/dlDisplay.do?docId=BLL01017672983&vid=BLVU1&lang=en_US&institution=BL .;Religious
IDD-064;null;null;null;null;B 5606;633633;null;Der Juden benedicite wie sy Gott den Heren loben und im umb die speysz dancken;Der Juden benedicite wie sy Gott den Heren loben und im umb die speysz dancken;ff. (4);4°;Deutsch;Aus dem Hebräischen übersetzt ins Deutsche von Thomas Murner;Religious
IDD-065;null;null;null;null;P 2298;633659;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenspiegel;Der jodenspeigel;ff. (36);4°;Deutsch;null;Religious
IDD-066;null;null;null;null;P 2299;633660;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenspiegel;Der joeden spiegel.;ff. (36);4°;Deutsch;Floerken 39-77;Religious
IDD-067;null;null;null;null;F 2855;633664;null;Der Juden practica;Der Juden practica;ff. (4);4°;Deutsch;null;Religious
IDD-068;null;null;null;null;P 2300;633665;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenspiegel;Der Juden spiegel;ff. (24);4°;Deutsch;Bogenkollation: A-F4;Religious
IDD-069;null;null;null;null;P 2301;633666;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenspiegel;Der Juden spiegel;ff. (16);4°;Deutsch;null;Religious
IDD-070;null;null;null;null;H 6305;636741;null;Die geschicht und bekentnuß des getaufften Juden zu Halle vor Sant Moritzen burgk auff dem Jueden kirchoff mit glueenden zangen gerissen darnach gepraten.;Die geschicht und bekentnuß des getaufften Juden zu Halle vor Sant Moritzen burgk auff dem Jueden kirchoff mit glueenden zangen gerissen darnach gepraten.;ff. (2);4°;Deutsch;betrifft Reuchlin-Pfefferkorn-Debatte;Religious
IDD-071;null;null;null;null;ZV 5529;640297;null;Warhafftig Sumarius der gerichts hendel;Dit is der warhafftig sumarius der gerichts hendel und proceß der geholden is worden upp manigfaldig indicia uthsag und bekentnys eines pawl from genomet der dat hochwerdig Sacrament;ff. (22);4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu ZV 4517. Erkennungslesart: ""Hanow. im iar"".  USTC 640297 = USTC 640309 = USTC 640298 ?";Jurisprudence
IDD-072;null;null;null;null;ZV 4517;640298;null;Warhafftig Sumarius der gerichts hendel;Dit is der warhaftig summarius der gerichts hendel und prozeß, der gehalden is worden up bekentnys eines, Paul from genomet;ff. (22);4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu ZV 4517. Erkennungslesart: ""Hanow. im iar"".  USTC 640297 = USTC 640309 = USTC 640298 ?";Jurisprudence
IDD-073;null;null;null;null;D 1446;640309;null;Warhafftig Sumarius der gerichts hendel;Ditzs ist der warhafftig sumarius der gerichts hendel unnd proceß der gehalten ist worden, uff bekentnis eines pawl from gnant der das Sacrament sambt einer monstrantzien auß der kyrchen zu Knobloch gestolen;ff. (22);4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu ZV 4517. Erkennungslesart: ""Hanow. im iar"".  USTC 640297 = USTC 640309 = USTC 640298 ?";Jurisprudence
IDD-074;null;null;null;null;H 2567;640813;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium. (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;De eruditione Christifidelium compemdiosus cum thematibus sermonum dominicalium et de sctis in generali acd beata virgine;ff. (164);4°;Latein;null;Religious
IDD-075;null;null;null;null;H 2564;640815;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium. (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;Discipulus de Eruditione christifidelium omnibus predicare volentibus utilis cunctis fidei christianae cultoribus summe necessarius. cum thematibus sermonum dominicalium & cum tabula alphabetica;ff. (142);4°;Latein;null;Religious
IDD-076;null;null;null;null;ZV 7803;640816;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium. (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;Discipulus de Eruditione christifidelium omnibus predicare volentibus utilis cunctis fidei christianae cultoribus summe necessarius. cum thematibus sermonum dominicalium & cum tabula alphabetica;ff. (142);4°;Latein;null;Religious
IDD-077;null;null;null;null;H 2565;640817;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium. (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;Discipulus de Eruditione christifidelium omnibus predicare volentibus utilis cunctis fidei christianae cultoribus summe necessarius. cum thematibus sermonum dominicalium & cum tabula alphabetica;ff. (142);4°;Latein;null;Religious
IDD-078;null;null;null;null;H 2563;640818;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium. (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;Discipulus de Eruditione christifidelium omnibus predicare volentibus utilis cunctis fidei christianae cultoribus summe necessarius. cum thematibus sermonum dominicalium & cum tabula alphabetica;ff. (140);4°;Latein;null;Religious
IDD-079;null;null;null;null;H 2568;640819;Schreckenberg III (1994) 534-535. VL III (1981) 1123-1127;(1) Discipulus de Eruditione christifidelium. (2) Liber Discipuli de eruditione Christifidelium (3) De eruditione christifidelium;Discipulus de eruditione Christifidelium compemdiosus:ac summa diligentia revisus atque recognitus: non modo omnibus predicare volentibus utilis: veruetiam cuctis fidei Christiane cultoribus summe necessarius.cum thematibus sermonum dominicalium et de sanctis in generali ac de beata virgine;ff. (164);4°;Latein;null;Religious
IDD-080;null;null;null;null;R 1246;640970;Floerken 28-34;Tütsch missive;Tütsch missive. Warumb die Juden so lang im ellend sind;ff. (5);4°;Deutsch;Exemplar: United Kingdom, London, British Library, Signatur: 1352.i.33.;null
IDD-081;null;null;null;null;S 8778;641669;null;Ducum, judicum, regum Israhelitici populi cumo ex sacris tum prophanis literis hystorica methodus;Ducum judicu regum jsrahelitici populi cum ex sacris tum pro hanis literis hystorica methodus per barptholomeum stenu diligentiss. Conscripta ut docta et culta ita omnibus necessaria.;ff. (50);8°;Latein;1509 erster bestellter Professor für Geographie;null
IDD-082;null;null;null;null;G 1177;641892;null;Das ist ein erschrockenliche history von fünff schnöden juden, wie sie das bild Marie verspottetund durchstochen haben;Dz ist ein erschrockenliche history von fünff schnöden Juden, wie sie das bild Marie verspottet und durchstochen haben;ff. (9);4°;Deutsch;Druckjahr im VD16 Grundwerk fälschlich: 1512, StBi Berlin-Bemerkung: Nehlsen. BLF 1135, Weller, Repertorium typographicum 686;Music
IDD-083;null;null;null;null;S 1567;642535;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;Ein Bewysung, das der war Messias kummen syg, des die Juden noch on Ursach zuokünfftig sin, wartend / beschriben durch Rabbi Samuelem. Nutzlich für die schwachgleubigen, dann hierinn ein yetlicher Christ sinen Glouben wol stercken mag, in dem, so er findt die klare Zügnus aller Propheten &c.;ff. (28);4°;Deutsch;Übersetzung ins Deutsche;Religious
IDD-084;null;null;null;null;G 1864;642995;null;Ein gesprech auff das kurtzt zwuschen eynem Christen und Juden auch eynem wyrthe, sampt seynem haußknecht den eckstein Christum betreffendt so noch Goetlicher schrifft abkunterfeyt ist wie alhie beygedruckt figur außweyßet.;Ein gesprech auff das kurtzt zwuschen eynem Christen und Juden auch eynem wyrthe, sampt seynem haußknecht den eckstein Christum betreffendt so noch Goetlicher schrifft abkunterfeyt ist wie alhie beygedruckt figur außweyßet.;ff. (15);4°;Deutsch;null;Religious
IDD-085;null;null;null;null;S 1566;643223;Schreckenberg III (1994) 391-393;(1) Epistola ad R. Isaac de adventu Messiae quem Judaei temere expectant (2) Epistola contra Judaeorum errores. Tr: Alphonsus Boni Hominis (3) Quod Judaei messiam, qui venit seu venturum, temere exspectent;(1) ¬Ein¬ Epistel rab||bi Samuelis des Juden dar||iñ er anzeyget vnd bewerlich || vernicht die õden vñ vnfrucht||barn hoffnung der Juden die || sye haben von Messia/ d#(m) der||selbig noch kõmen sol/ in Ara||bischer zungenerstlich beschri||ben/ Darnach in Latein ge=||bracht/ vnd yetz nüwlich auff || das aller trüwlichest verteüt=||schet ... || Auch || ein Epistel Pontij Pilati von || der vrstend Christi vnsers se=||lig machers.|| (VD16). (2) Ein Epistel, darinn er anzeyget und bewerlich vernicht die oden und unfruchtbarn hoffnung der Juden, die sye haben von Messia dm derselbig noch kommen sol (USTC);ff. (34);4°;Deutsch;Übersetzung ins Deutsche. daran: Pseudo- Pontius Pilatus: Epistola ad Tiberium;Religious
IDD-086;null;null;null;null;H 5683;644008;null;Ein hübscher newer leerspruch wie ein münch nach vil disputierens einen verstockten Juden zu Christenlichem glauben bekerte, und wie er den tauff auch gutte underweysung des münchs an nam.;Ein hübscher newer leerspruch wie ein münch nach vil disputierens einen verstockten Juden zu Christenlichem glauben bekerte, und wie er den tauff auch gutte underweysung des münchs an nam.;ff. (20);4°;Deutsch;Leerspruch;Religious
IDD-087;null;null;null;null;V 973;646286;Schreckenberg III (1994) 592-595;Ein schoen und seüberlich tractat von der edlen reinen und unbefleckten junckfrawschafft Marie der hymelischen Künigin mutter unsers Herren Jesu Christi;null;ff. (23);4°;Deutsch;4. Auflage?  Auch 1550 (= VD16 V 974 und U 186);Religious
IDD-088;null;null;null;null;W 4595;647501;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);Ein wunderbarlich geschichte: wie die merckischen juden das hochwirdig sacrament gekaufft unnd zu martern sich undstannden;ff. (4);4°;Deutsch;betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg;null
IDD-089;null;null;null;null;W 4596;647502;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);ff. (3);4°;Deutsch;Lagenform: A3;Religious
IDD-090;null;null;null;null;A 350;650565;Schreckenberg III (1994) 596-597. Murner, Thomas: Entehrung Mariä durch die Juden: Eine antisemitische Dichtung Thomas Murners. Mit den Holzschnitten des Strassburger Hupfuffschen Druckes herausgegeben von Adam Klassert. Sonderabdruck aus dem Jahrbuch für Geschichte, Sprache und Literatur Elsass-Lothringens (1905);Enderung und schmach der bildung Marie von den Juden bewissen. vnd zu ewiger gedechtnüss durch Maximilianum den römischen keyser zu malen verschaffet in der löblichen stat kolmer, von dannen sy ouch ewig vertriben syndt;Enderung und schmach der bildung Marie von den juden bewissen. Und zu ewiger gedechtnüsz durch Maximilianu den Römischen Keyser zu malen verschaffet in der löblichen stat Kolmer. Von dannen sy ouch ewig vertriben syndt.;ff. (33);4°;Deutsch;Schreckenberg III, S: 596, nennt Thomas Murner als Verfasser, VD16 und USTC nicht;Religious
IDD-091;null;null;null;null;V 971;656358;Schreckenberg III (1994) 592-595;Eyn schoin vnd suberlich tractat von der edele reyne vnd vnbefleckte junckfrouschaff Marie, etc.;null;ff. (26);4°;Deutsch;2. Auflage?  Auch 1550 (= VD16 V 974 und U 186) . British Library: General Reference Collection DRT Digital Store 4808.c.13. UIN: BLL01018204058. http://explore.bl.uk/primo_library/libweb/action/dlDisplay.do?docId=BLL01018204058&vid=BLVU1&lang=en_US&institution=BL;Religious
IDD-092;null;null;null;null;W 4594;656812;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);Eyn wunderbarlich Geschichte wye die Marckischen Juedenn das hochwirtigst Sacrament gekaufft und zcu Martern sich unterstanden;ff. (4);4°;Deutsch;betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. ;Religious
IDD-093;null;null;null;null;W 4593;656813;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);Eyn wunderbarlich Geschichte wye die Marckischen Juedenn das hochwirtigst Sacrament gekaufft und zcu Martern sich unterstanden;ff. (5);4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu VD16 ZV 26067. Erkennungslesart: ""Marckischen""."". USTC 656813 = USTC 2213248 = USTC 656814 ?. Titelholzschnitte";Religious
IDD-094;null;null;null;null;ZV 26067;656814;null;Ein wunderbarlich geschichte. Wye dye merckischen Juden das hochwirdig Sacrament: gekaufft und zu martern sich understanden (USTC);Eyn wunderbarlich Geschichte wye die Marckischen Juedenn das hochwirtigst Sacrament gekaufft und zcu Martern sich unterstanden;ff. (5);4°;Deutsch;"betrifft Vorwuf der Hostienschändungen und Ritualmorde in Berlin 1510, Vertreibung aus der Mark Brandenburg. VD16: ""Variante zu VD16 ZV 26067. Erkennungslesart: ""Marckischen""."". USTC 656813 = USTC 2213248 = USTC 656814 ? ";Religious
IDD-096;null;null;null;null;B 5604;661171;null;Benedicite judeorum uti soliti sut ante et post cibi suptionem Benedicere et gratias agere deo egregio doctore thoma murner Argentinensi ordinis minorum interprete.;Birchat ha-Mason. Benedicite iudeoru(m) vti soliti su(n)t a(n)te (et) post cibi su(m)ptione(m) benedicere (et) gratias agere deo / Egregio doctore Thoma murner Argentinensi ordinis mino(rum) interprete;ff. (4);4°;Latein;Aus dem Hebräischen übersetzt ins Lateinische von Thomas Murner, teilweise in hebräischer Schrift;Religious
IDD-097;null;null;null;null;H 188;661374;null;(1) Ritus et celebratio phase iudeorum. (2) Huqah ha-pesah. Ritus et celebratio Phase Tudeorum cum orationibus eorum et benedictionibus mense ad litteram interpretatis (etc.) Per Thomam Munner ex Hebreo in Lateinum traducta.;?uqat hap-pesa?. Ritus et celebratio phase iudeo(rum), cum orationibus eor(um), (et) benedictionibus mense ad littera(m) interp(re)tatis, cum omni obseruatione vti soliti su(n)t suu(m) pasca extra terra(m) p(ro)missionis sine esu agni pascalis celebrare / Per egrediu(m) doctorem. Thoma(m) murner ex hebreo in Lateinu(m) traducta eloquium;ff. (16);4°;(1) Latein (2) Hebräisch;Aus dem Hebräischen übersetzt ins Lateinische von Thomas Murner, teilweise in hebräischer Schrift. Bedeutender Kontroverstheologe der frühen Reformationszeit. 1505 Poeta laureatus;Religious
IDD-098;null;null;null;null;P 2294;661559;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Handspiegel;Handt spiegel. Wider und gegen die Jüden und Judischen Thalmudischen schrifftenn so sie uber das Cristenlich regiment singen und lesen welche pillich gotslesterer, ketzer und aberglauber des alten newen und des naturlichen gesetzen gezelt geheissen verthümbt und abgethan werden moegen;ff. (24);4°;Deutsch;null;Religious
IDD-099;null;null;null;null;S 8;662552;null;Historia hebreorum ex ... Enneadibus excerpta, eius gentis ritus, leges & gesta, ab orbe co(n)dito ad Iesu Christi te(m)pora ... co(m)plectens (etc.);Historia hebreo rum ex elegantissimis marci Antonii coccii sabellici enneadibus excerpta, eius gentis ritus leges et gesta, ab orbe condito, ad Jesu Christi tempora succincte complectens, in septem est partita libros (USTC);ff. 109;2°;Latein;Illustration;Religious
IDD-100;null;null;null;null;D 2677;662696;null;Hierinn auff das kürtzest ist angezaigt der dreien glauben;Hierin(n) auff das kürtzest ist angezaigt der dreien glauben. d(a)z ist der Haid(e)n Jud(e)n vn(d) Cristen die frümbste(n) vn(d) pösten der höchsten geschlächt;ff. (20);4°;Deutsch;"BSB-Anmerkung: ""Bibliographischer Nachweis: Schott.Werl.1. Letztes Blatt der Lage E unbedruckt. Die Illustrationen sind Holzschnitte""";Religious
IDD-101;null;null;null;null;D 2678;662720;null;Hierinn auff das kürtzest ist angezaigt der dreien glauben;Hierinn: auf das kürtzest: ist angezaigt: der dreien glauben: das ist der hayden: Juden: und Cristen: die frümsten und pössisten: mannen und frauwen: der höchstenn geschlächt.;ff. (19);4°;Deutsch;null;Religious
IDD-102;null;null;null;null;P 2316;664310;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenfeind;Hostis judeorum hic liber Inscribitur qui declarat nequicias eorum circa usuras et dolos etiam varios qui in huc usque di noti Christianis non fuerut habet etiam in se Hebraicas senttias ut ceci et maledicti judei tanto apertius vel ex suis scripturis confundantur;ff. (12);4°;Latein;Lagenform: A-C4;Religious
IDD-103;null;null;null;null;P 2315;664915;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenfeind;Ich bin ein buchlin.der Juden veindt ist mein namen. Yr schalckheit sag ich und wil mich des nit schamen. Die lang zeit verborgen gewest als ich thu betewten das wil ich ytz offenbarn allen Cristen lewten;ff. (12);4°;Deutsch;null;Religious
IDD-104;null;null;null;null;P 2290;665464;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Osterbüchlein;In disem buchlein vindet jer ain entlichenn fuertrag wie die blinden Juden yr Ostern halten unnd besuenderlich wie das Abentmal gessen wirt. Weiter würdt außgetruckt das die Juden ketzer seyn des alten und newenn Testaments deßhalb sye schuldig seyn des gerichts nach dem gesatz Moysi;ff. (14);4°;Deutsch;Lagenform: A - B4 C6;Religious
IDD-105;null;null;null;null;P 2293;665820;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Osterbüchlein;In hoc libello comparatur absoluta explicatio quomodo ceci illi judei suu pascha serut: et maxie quo ritu paschalem eam cenam manducent. Exprimitur praeterea judeos esse hereticos et desertores veteris. et oppugnatores Novi Testamti. qua obrem judicii rei sunt secundum leg moysi;ff. (16);4°;Latein;null;Religious
IDD-106;null;null;null;null;P 2305;668756;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Ich heiß ein buchlin der Juden peicht in allen orten vindt man mich leicht vil neüer meren sind mir wol bekandt. Ich wil mich preyten in alle landt. Wer mich list dem wünsch ih hayl. Doch das ich den Juden nit werde zu tayl;ff. (12);4°;Deutsch;null;Religious
IDD-107;null;null;null;null;P 2309;668757;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Ich heysch eyn boichelgyn der ioeden bicht. In allen orten vint men mich licht. Vil neuwer meren synt myr wail becant. Ich wil mich spreyden in alle landt. Wer mych lest. Den wuschen ich heyl. Doch dat ich den ioeden niet werde tzo deyl;ff. (12);4°;Deutsch;null;Religious
IDD-108;null;null;null;null;P 2306;668758;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Ich heyss ain buechlein der Juden peicht. In allen orten vindt man mich leicht vil newer meren seind mir wol bekant. Ich will mich prayten in alle landt. Wer mich lyst dem wünsch ich hayl. Doch das ich den Juden nit werde zu tayl;ff. (10);4°;Deutsch;null;Religious
IDD-109;null;null;null;null;P 2307;668759;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Ich heyß eyn buchliin der Juden beicht. In allen orten vint man mich leicht vill neuwe meren synt myr wall bekant. Ich will mich spreyden in alle landt. Wer mich lyst den wuschen ich heyl. Doch das ich den Juden nit werde tzu deyl;ff. (16);4°;Deutsch;null;Religious
IDD-110;null;null;null;null;P 2308;668760;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Ich heysz ein buchlein der Juden peicht. In allen orten vindt man mich leicht. Vill newen meren synt mir woll bekant. Ich will mich preyten in allen landt. Wer mich lyst dem wunsch ich heyl. Doch das ich den Juden nit werde zu teyl;ff. (10);4°;Deutsch;null;Religious
IDD-111;null;null;null;null;P 2296;669021;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Zu Lob und Ehre;In lob und eer dem allerdurchleuchtigsten großmechtigsten Fursten und Heren Hern Maximilian von Gots genaden romschen Kaysers hat Johannes Pfefferkorn dyß buchlyn auffgericht und in.XVI.capitel getaylt;ff. (24);4°;Deutsch;Das in Padua am 19. August 1509 ausgestellte Mandat Kaiser Maximilians I. wird im dritten Abschnitt der Schrift wiedergegeben. dig. Faks. (BSB Res/4 P.lat. 1101 a Beibd.3), Bildnr. 10-12. Textwiedergabe des entsprechenden Teils in FLÖRKEN, S. 152-153 (1509 Aug 19 Kaiser Maximilian: Mandat).;Political Tracts
IDD-112;null;null;null;null;P 2310;672545;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Libellus de judaica confessione sive sabbato afflictionis. Per johannem pefferkorn factum ex judeo Christianum nuper editus;ff. (14);4°;Latein;null;Religious
IDD-113;null;null;null;null;P 2311;672546;VL-Hum 2 (2013) 434-441. Schreckenberg III (1994) 603;Judenbeichte;Libellus de Iudaica confessione;ff. (10);4°;Latein;null;Religious
IDD-114;null;null;null;null;B 5835;676616;Schreckenberg III (1994) 399-400;Decamerone;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis. (3) Mythica historia Joannis boccacii: pro Philippum beraaldum de italico in Lateinum translata. In qua ostendit exemplo cuiusdam adolescentis: ob mores beluinos cymonis dicti: amorem cultorum morum esse parentem.;ff. 1 pp. (17);4°;Latein;Übersetzung aus dem Italinischen. Heide, Sebastian ¬von der¬ ¬(Beitr.)¬ - PND 115352503;Literature
IDD-115;null;null;null;null;ZV 2110;676617;Schreckenberg III (1994) 399-400;Decamerone;(1) Decamerone (Auzug: V, 1 Cimone). (2) Mythica historia Cymonis. (3) Mythica historia Joannis boccacii: pro Philippum beraaldum de italico in Lateinum translata. In qua ostendit exemplo cuiusdam adolescentis: ob mores beluinos cymonis dicti: amorem cultorum morum esse parentem.;ff. (12);4°;Latein;Übersetzung aus dem Italinischen. Heide, Sebastian ¬von der¬ ¬(Beitr.)¬ - PND 115352503 (Übersetzung aus dem Italinishcen);Literature
IDD-116;null;null;null;null;V 969;679599;Schreckenberg III (1994) 592-595;De vita et moribus Judaeorum;Opus aureum ao novum et a doctis viris diu expectatum domini victoris de carben olim judei sm modo Christiani et sacerdois in quo os judeorum errores manifestantur qui hacteus nobis ignoti fuere;ff. (76);4°;Latein;Lagenformel: A - B6 C4 D6 E4 F6 G4 H6 I4 K6 L4 M6 N4 O6 P4. Bbirtish Library: General Reference Collection DRT Digital Store 4033.c.37.. UIN: BLL01017757713.  http://explore.bl.uk/primo_library/libweb/action/dlDisplay.do?docId=BLL01017757713&vid=BLVU1&lang=en_US&institution=BL;null
